,Pesos,Condutância
149,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.30 0.00
150,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.27 0.00
151,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.24 0.00
152,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.21 0.00
153,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.19 0.00
154,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.17 0.00
155,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.15 0.00
156,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.13 0.00
157,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.12 0.00
158,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.10 0.00
159,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.09 0.00
160,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.08 0.00
161,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.07 0.00
162,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.06 0.00
163,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.06 0.00
164,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.05 0.00
165,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.04 0.00
166,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.00
167,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.00
168,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.00
169,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.00
170,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
171,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.00
172,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.00
173,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.00
174,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.00
175,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
176,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
177,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
178,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.00
179,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.00
180,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.00
181,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.00
182,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
183,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
184,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
185,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
186,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.94 0.00
187,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.89 0.00
188,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.84 0.00
189,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.78 0.00
190,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.73 0.00
191,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.67 0.00
192,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.61 0.00
193,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.56 0.00
194,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.51 0.00
195,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.46 0.00
196,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.42 0.00
197,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.37 0.00
198,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.34 0.00
199,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.30 0.00
200,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.27 0.00
201,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.24 0.00
202,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.21 0.00
203,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.19 0.00
204,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.17 0.38
205,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.15 0.64
206,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.13 0.82
207,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.12 0.38
208,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.10 0.64
209,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.09 0.82
210,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.08 0.92
211,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.07 0.38
212,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.06 0.64
213,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.06 0.82
214,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.05 0.92
215,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.04 0.98
216,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.04 0.38
217,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.03 0.64
218,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.03 0.82
219,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.03 0.92
220,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.02 0.98
221,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.02 1.00
222,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.02 0.99
223,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.01 0.96
224,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.01 0.92
225,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.01 0.87
226,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.01 0.81
227,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.01 0.75
228,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.01 0.69
229,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.01 0.63
230,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.01 0.58
231,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.01 0.52
232,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.47
